"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"language","factor",1160,0.549339549339549,3,NA,NA,1414,NA,NA,0.415808561236623,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ktversie","integer",1158,0.55011655011655,10,4.74525043177893,5,5,NA,2.57570741596005,NA,1,9,8,0.121205934239325,0.843012565938577,-1.19647905816943,-4.16445067784281,NA,NA
"kt_personal_senior","numeric",1158,0.55011655011655,210,0.139649588871001,0.071428571428571,0.071428571428571,NA,0.190548011120831,NA,0,1,1,2.05460444902197,14.2902026986469,5.11687815316414,17.8097448073896,NA,NA
"kt_team","numeric",1158,0.55011655011655,226,0.158834196891192,0.125,0.125,NA,0.179028356916744,NA,0,1,1,1.4533786242219,10.1085516231107,2.71606723604093,9.45351108735878,NA,NA
"kt_personal_ecr","numeric",1158,0.55011655011655,217,0.146836194832017,0.11714285714286,0.11714285714286,NA,0.163964170462617,NA,0,1,1,1.79023664262553,12.4514694367774,4.65139101921348,16.1895758647975,NA,NA
"kt_thematic","numeric",1158,0.55011655011655,275,0.0864512854771811,0.051111111111111,0.051111111111111,NA,0.10837560893703,NA,0,0.7375,0.7375,1.50434633505395,10.4630426879104,2.86619491167109,9.97604367685308,NA,NA
"kt_thematic_co","numeric",1158,0.55011655011655,223,0.0542535283193768,0,0,NA,0.102896090406332,NA,0,1,1,3.99735455472943,27.8024350977312,25.773564177649,89.7071587481446,NA,NA
"kt_small_first","numeric",1158,0.55011655011655,206,0.154667194433342,0.091428571428571,0.091428571428571,NA,0.199634405298774,NA,0,1,1,1.89576449251437,13.1854376543493,4.37852384309566,15.2398376401407,NA,NA
"kt_small_second","numeric",1158,0.55011655011655,173,0.0975954654523398,0,0,NA,0.158958861642347,NA,0,1,1,2.48473061834014,17.2818199651603,8.24063405515599,28.6822521819594,NA,NA
"kt_award","numeric",1158,0.55011655011655,53,0.0888228961477095,0,0,NA,0.176386173376489,NA,0,1,1,3.17462283280215,22.0801642837338,11.6226285445622,40.4535816905731,NA,NA
"kt_first_ecr","numeric",1158,0.55011655011655,275,0.250129840829358,0.215,0.215,NA,0.237959966381384,NA,0,1,1,1.15155722355396,8.00932079725154,1.26689566041049,4.40954186011793,NA,NA
"kt_rolling_ecr","numeric",1158,0.55011655011655,434,0.264104186050008,0.251704545454545,0.251704545454545,NA,0.181459337488831,NA,0,1,1,0.601471239392514,4.18335798523988,0.693241297943951,2.41288735763438,NA,NA
"kt_rolling_senior","numeric",1158,0.55011655011655,370,0.157045875415255,0.13666666666667,0.13666666666667,NA,0.141173788782068,NA,0,1,1,1.34254344957367,9.33766985430257,3.9322714750915,13.6866169934984,NA,NA
"work_life","numeric",927,0.63986013986014,4,2.4487594390507,3,3,NA,0.674525729995874,NA,1,3,2,-0.825970623146322,-5.14161967476215,-0.482375510900215,-1.50298644460883,NA,NA
"grade","integer",908,0.647241647241647,11,7.60242290748899,8,8,NA,1.19604026474367,NA,1,10,9,-1.08809289961928,-6.70376862546416,4.00475045000022,12.3501603601261,NA,NA
